model;price;km;location;year
Audi A3 40 TFSi e Sportback S-tr. ;349.900 kr.;8.000;Nordjylland;2021
Audi A3 1,4 e-tron S-line Sportback S-tr. ;274.800 kr.;12.000;Østjylland;2017
Audi A3 45 TFSi e S-line Sportback S-tr. ;426.900 kr.;6.000;Østjylland;2021
Audi A3 1,4 e-tron Sportback S-tr. ;219.800 kr.;100.000;Syd- og Vestsjælland;2016
Audi A3 40 TFSi e Prestige Sportback S-tr. ;344.900 kr.;6.000;Nordjylland;2021
Audi A3 40 TFSi e Prestige Sportback S-tr. ;339.900 kr.;6.000;Nordjylland;2021
Audi A3 40 TFSi e Prestige Sportback S-tr. ;344.900 kr.;6.000;Nordjylland;2021
Audi Q3 45 TFSi e Attitude+ Sportback S-tr. ;380.900 kr.;6.000;Østjylland;2021
Audi A3 45 TFSi e S-line Sportback S-tr. ;422.900 kr.;6.000;Østjylland;2021
Audi A6 50 TFSi e Sport quattro S-tr. ;549.900 kr.;6.000;Østjylland;2021
Audi A3 1,4 e-tron Attraction Sportback S-tr. ;197.999 kr.;93.000;København;2016
Audi A3 40 TFSi e Prestige Sportback S-tr. ;361.900 kr.;6.000;Østjylland;2021
Audi A3 1,4 e-tron Sportback S-tr. ;219.600 kr.;36.000;Syd- og Sønderjylland;2016
Audi Q3 45 TFSi e S-line+ S-tr. ;599.900 kr.;9.000;Syd- og Sønderjylland;2021
Audi A3 1,4 e-tron Sport Sportback S-tr. ;269.900 kr.;55.000;Fyn;2018
Audi A3 1,4 e-tron S-line Sportback S-tr. ;299.900 kr.;27.000;Nordsjælland;2017
Audi A3 1,4 e-tron S-line Sportback S-tr. ;269.900 kr.;35.000;Nordsjælland;2018
Audi A3 1,4 e-tron Sportback S-tr. ;274.900 kr.;59.000;Fyn;2017
Audi A3 1,4 e-tron Sport Sportback S-tr. ;249.000 kr.;36.000;Syd- og Vestsjælland;2018
Audi A3 1,4 e-tron Sportback S-tr. ;204.800 kr.;94.000;Syd- og Vestsjælland;2016
Audi A3 1,4 e-tron Sport Sportback S-tr. ;259.000 kr.;38.000;Syd- og Vestsjælland;2018
Audi A3 1,4 e-tron Ambiente Sportback S-tr. ;203.900 kr.;112.000;Syd- og Vestsjælland;2015
Audi A3 1,4 e-tron S-line Sportback S-tr. ;190.000 kr.;77.000;Syd- og Vestsjælland;2017
Audi A3 1,4 e-tron Sport Sportback S-tr. ;219.999 kr.;94.000;Fyn;2016
Audi A3 1,4 e-tron Sportback S-tr. ;264.900 kr.;22.000;Syd- og Vestsjælland;2018
Audi A3 1,4 e-tron Sportback S-tr. ;239.700 kr.;54.000;Syd- og Vestsjælland;2018
Audi A3 1,4 e-tron Sportback S-tr. ;249.000 kr.;65.000;Østjylland;2016
Audi A3 1,4 e-tron Sportback S-tr. ;239.900 kr.;52.000;Fyn;2017
Audi A7 50 TFSi e S-line Edition Sportback quattro S-tr. ;687.900 kr.;6.000;Østjylland;2021
Audi A3 1,4 e-tron S-line Sportback S-tr. ;259.900 kr.;46.000;København;2017
Audi A3 1,4 e-tron Sportback S-tr. ;234.700 kr.;45.000;Syd- og Vestsjælland;2018
Audi A3 1,4 e-tron Sport Sportback S-tr. ;279.900 kr.;32.000;Syd- og Vestsjælland;2018
Audi Q3 45 TFSi e S-line+ Sportback S-tr. ;441.900 kr.;6.000;Østjylland;2021
Audi A3 1,4 e-tron Sportback S-tr. ;269.900 kr.;24.000;Syd- og Sønderjylland;2017
Audi A3 1,4 e-tron Sportback S-tr. ;234.800 kr.;35.000;Syd- og Sønderjylland;2018
Audi A3 1,4 e-tron Sport Sportback S-tr. ;249.900 kr.;55.000;Syd- og Sønderjylland;2018
Audi A3 1,4 e-tron S-line Sportback S-tr. ;279.900 kr.;43.000;Nordsjælland;2018
Audi A3 1,4 e-tron Sportback S-tr. ;229.500 kr.;45.000;Nordjylland;2018
Audi A3 1,4 e-tron Sportback S-tr. ;209.900 kr.;40.000;Fyn;2018
Audi A3 1,4 e-tron Sportback S-tr. ;209.900 kr.;20.000;Fyn;2018
Audi A6 55 TFSi e Sport Prestige quattro S-tr. ;695.000 kr.;3.000;Østjylland;2021
Audi A3 1,4 e-tron Sportback S-tr. ;274.900 kr.;59.000;Fyn;2017
Audi A3 1,4 e-tron Sport Sportback S-tr. ;249.000 kr.;36.000;Syd- og Vestsjælland;2018
Audi A3 1,4 e-tron Sportback S-tr. ;204.800 kr.;94.000;Syd- og Vestsjælland;2016
Audi A3 40 TFSi e Sportback S-tr. ;338.000 kr.;9.000;Østjylland;2021
Audi A3 1,4 e-tron Sport Sportback S-tr. ;209.900 kr.;71.000;Fyn;2016
Audi A3 1,4 e-tron Sport Sportback S-tr. ;229.000 kr.;65.000;København;2016
Audi A3 1,4 e-tron Sportback S-tr. ;219.900 kr.;36.000;Fyn;2017
